epoch,train_loss,train_recon_loss,train_kl_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,104.72142028808594,98.57111358642578,249.272705078125,127.19596099853516,127.19596099853516,221.0492401123047,0.0
1,98.51392364501953,95.00529479980469,23.622655868530273,125.82315826416016,125.82315826416016,138.9882354736328,0.0
2,97.62538146972656,94.64525604248047,11.71449089050293,124.38897705078125,124.38897705078125,97.0458984375,0.0
3,96.83224487304688,94.30513000488281,6.994123458862305,124.13114166259766,124.13114166259766,74.44408416748047,0.0
4,96.22566986083984,94.11441040039062,4.52439022064209,124.1133041381836,124.1133041381836,62.41671371459961,0.0
5,96.10321044921875,94.11931610107422,3.476365804672241,123.73019409179688,123.73019409179688,51.21770095825195,0.0
6,95.8275146484375,93.9223403930664,2.8043863773345947,123.51005554199219,123.51005554199219,44.67770767211914,0.0
7,95.63336181640625,93.84502410888672,2.276120662689209,123.96786499023438,123.96786499023438,41.84513473510742,0.0
8,95.7056884765625,93.88050842285156,2.0561001300811768,124.07181549072266,124.07181549072266,37.87379455566406,0.0
9,95.62824249267578,93.76673126220703,1.8937530517578125,123.2698745727539,123.2698745727539,34.29488754272461,0.0
10,95.20623016357422,93.70697784423828,1.499243140220642,123.21678161621094,123.21678161621094,32.76853561401367,0.0
11,95.15567016601562,93.75089263916016,1.4047958850860596,122.9388427734375,122.9388427734375,31.895946502685547,0.0
12,95.0753173828125,93.72591400146484,1.3494219779968262,123.06170654296875,123.06170654296875,30.587631225585938,0.0
13,94.85543060302734,93.57656860351562,1.278894066810608,123.85115814208984,123.85115814208984,30.114797592163086,0.0
14,94.88216400146484,93.61031341552734,1.2718558311462402,122.72724151611328,122.72724151611328,29.190683364868164,0.0
